ProblemUID,ProblemTitle,Description,distribution,parameter(s),hint,comment
30,Miami Homicide P1,The homicide rate in Miami Florida averages 1 per week throughout the year. X = the day when Miami will see it's 1st homicide next year.,Exponential,r = 1/7 per day (mean = 7 days or 1 week),time to first rare event,
31,Water Usage P1,X = the amount of water used next September by a person taking a daily shower,Normal,mu = average per day times 30; sigma = standard deviation of total,Sum of usage over 30  days in month,
32,Petrol Pump Purchases P2,X = how many of the next 10 customers at a service station buy their gas with a credit card,Binomial,n = 10; p = proportion of all customers using a credit card,dichotomous population of independent customers,
33,Lemon Law P2,"Ohio's lemon law allows people who buy a lemon (a vehicle that turns out to be excessively defective) to return it for a refund. However, in Ohio, only about 24 cars are expected to be declared ""lemons"" each year. X = how many cars are returned in a random month under Ohio's lemon law.",Poisson,lamda = 2,lemons are rare and nearly independent,
34,Color Blind P1,"When ten men must be studied before two are found to be color blind, let X = how many were studied before the first color blind man was found",Discrete Uniform,a=1; b=9,no preference for any particular trial,
35,GW Bridge Traffic P3,"The George Washington Bridge connecting New Jersey and New York is the busiest bridge in the world, carrying about 100 million vehicles a year.  On average, there is approximately one fatal accident per 20 million vehicles.  X = the time (in years) until there are 5 more fatal accidents on the George Washington Bridge.",Gamma,k =5 ; theta = 5,time to 5th rare event,Assumption of constant rate may not be appropriate (affects the mean - but Gamma distribution still likely to be reasonable)
36,Cafeteria Utensils P1,"A cafeteria provides teaspoons, soupspoons, non serrated and serrated knives, and forks for customers to take as needed.  X = how many soupspoons are taken by the next 50 customers.",Binomial,n=50; p= probability a customer uses a soupspoon,customers are independent,Also assume that customers don't take more than one (students should be able to recognize that if the problem asked about X = how many of each kind are taken by the next 50 customers it would NOT be multinomial since individual customers take more than one utensil)
37,Ice Usage P1,"X = how much ice will be used on the next full Southwest Airline flight from Denver, CO to Raleigh/Durham, NC",Normal,mu = average ice used on full flights; sigma = flight to flight st. dev.,total used for fixed number of nearly independent  passengers,
38,Prius Traffic P1,X = how long until the next 2001 Toyota Prius hybrid goes through a toll booth on the Golden Gate Bridge,Exponential,r = rate that such cars are seen,memoryless,
39,Left handers P1,X = how many randomly chosen people will it take to find 10 who are left-handed,Negative Binomial,k = 10; p about 0.11,people until 10th success,
40,Left handers P2,X = how many randomly chosen people will it take find one who is left-handed,Geometric,p about 0.11,,
41,Plant breeding P1,X = the number of red-flowering plants in 100 crosses between pink flowering plants,Binomial,n = 100; p = 0.25 ,count in 100 trials,assume Mendelian genetics
42,Fish tank P1,X = the position (degrees clockwise from you) of a fish swimming in a cylindrical tank.,Continuous Uniform,A = 0; B = 360,no preferece for any angle,
43,NYT Crossword P1,X = the average amount of time that a sample of 500 regular subscribers to the New York Times spend on the Sunday crossword puzzle,Normal,mu = average for all NYT subscribers; sigma = person-to-person standard deviation,average of 500 independent tries,population distribution would be very skewed
44,Prius Traffic P2,X = how many 2001 Toyota Prius hybrids go across the Golden Gate bridge tomorrow,Poisson,lamda = average number per day,number of independent rare events,
45,Internet purchases P1,X = In a sample of just one person;  how many favor imposing a uniform sales tax on internet purchases.,Bernoulli,p = proportion in population that favor the proposal,value can be 1 or 0,
46,Vending Machine P1,X = how much time until the next diet coke is purchased from a vending machine.,Exponential,r = rate that diet coke purchasers come to the machine,customer arrivals basically memoryless,
47,Vending Machine P2,X = how much time until five separate people purchase a diet coke from a vending machine,Gamma,k =5; theta = time between separate purchases,Waiting time until 5th event,
48,Tips P1,X = how many of the next ten parties that a waiter serves will leave a tip of more than 20% of the bill. ,Binomial,n = 10; p = proportion of all parties leaving that sized tip,number of indpendent parties out of 10,
49,Birth Month P1,X = the birth month of the next person to board a plane from Honolulu to Los Angeles,Discrete Uniform,a = 1; b = 12,all months equally likely,
